chunk_id,doc_id,pdf_page,chunk_ordinal,source_channel,chars,actual_text_tokens,actual_rendered_tokens,est_tokens,est_prompt_tokens,header_increment,chars_per_actual_token,ratio_text_actual_over_est,ratio_rendered_actual_over_est_prompt,labels
CMM:p100:0,CMM,100,0,native,651,130,141,162,176,11,5.007692,0.802469,0.801136,none_observed
CMM:p100:1,CMM,100,1,native,1345,242,253,336,350,11,5.557851,0.720238,0.722857,none_observed
CMM:p100:2,CMM,100,2,native,1371,223,234,342,356,11,6.147982,0.652047,0.657303,none_observed
CMM:p100:3,CMM,100,3,native,248,40,51,62,76,11,6.2,0.645161,0.671053,none_observed
CMM:p100:4,CMM,100,4,native,516,108,119,129,143,11,4.777778,0.837209,0.832168,none_observed
CMM:p101:0,CMM,101,0,native,1208,255,266,302,316,11,4.737255,0.844371,0.841772,none_observed
CMM:p101:1,CMM,101,1,native,564,98,109,141,155,11,5.755102,0.695035,0.703226,none_observed
CMM:p101:2,CMM,101,2,native,1312,240,251,328,342,11,5.466667,0.731707,0.733918,none_observed
CMM:p101:3,CMM,101,3,native,744,136,147,186,200,11,5.470588,0.731183,0.735,none_observed
CMM:p102:0,CMM,102,0,native,1213,249,260,303,317,11,4.871486,0.821782,0.820189,none_observed
CMM:p102:1,CMM,102,1,native,861,178,189,215,229,11,4.837079,0.827907,0.825328,none_observed
CMM:p103:0,CMM,103,0,native,1235,362,373,308,322,11,3.411602,1.175325,1.158385,none_observed
CMM:p103:1,CMM,103,1,native,171,65,76,42,56,11,2.630769,1.547619,1.357143,none_observed
CMM:p104:0,CMM,104,0,native,1174,416,427,293,307,11,2.822115,1.419795,1.390879,none_observed
CMM:p105:0,CMM,105,0,native,1341,468,479,335,349,11,2.865385,1.397015,1.372493,none_observed
CMM:p106:0,CMM,106,0,native,1234,484,495,308,322,11,2.549587,1.571429,1.537267,none_observed
CMM:p107:0,CMM,107,0,native,923,313,324,230,244,11,2.948882,1.36087,1.327869,none_observed
CMM:p108:0,CMM,108,0,native,1175,421,432,293,307,11,2.790974,1.43686,1.407166,none_observed
CMM:p109:0,CMM,109,0,native,1275,503,514,318,332,11,2.534791,1.581761,1.548193,none_observed
CMM:p10:0,CMM,10,0,native,1395,342,351,348,362,9,4.078947,0.982759,0.969613,none_observed
CMM:p10:1,CMM,10,1,native,275,57,66,68,82,9,4.824561,0.838235,0.804878,none_observed
CMM:p110:0,CMM,110,0,native,885,284,295,221,235,11,3.116197,1.285068,1.255319,none_observed
CMM:p111:0,CMM,111,0,native,398,117,128,99,113,11,3.401709,1.181818,1.132743,none_observed
CMM:p112:0,CMM,112,0,native,140,27,38,35,49,11,5.185185,0.771429,0.77551,none_observed
CMM:p113:0,CMM,113,0,ocr,1363,314,325,340,354,11,4.340764,0.923529,0.918079,none_observed
CMM:p113:1,CMM,113,1,ocr,1386,318,329,346,360,11,4.358491,0.919075,0.913889,none_observed
CMM:p113:2,CMM,113,2,ocr,1363,290,301,340,354,11,4.7,0.852941,0.850282,none_observed
CMM:p113:3,CMM,113,3,ocr,496,91,102,124,138,11,5.450549,0.733871,0.73913,none_observed
CMM:p114:0,CMM,114,0,ocr,1353,313,324,338,352,11,4.322684,0.926036,0.920455,none_observed
CMM:p114:1,CMM,114,1,ocr,1385,314,325,346,360,11,4.410828,0.907514,0.902778,none_observed
CMM:p114:2,CMM,114,2,ocr,1350,291,302,337,351,11,4.639175,0.863501,0.860399,none_observed
CMM:p114:3,CMM,114,3,ocr,572,112,123,143,157,11,5.107143,0.783217,0.783439,none_observed
CMM:p115:0,CMM,115,0,ocr,1402,300,311,350,364,11,4.673333,0.857143,0.854396,none_observed
CMM:p115:1,CMM,115,1,ocr,1354,268,279,338,352,11,5.052239,0.792899,0.792614,none_observed
CMM:p115:2,CMM,115,2,ocr,983,221,232,245,259,11,4.447964,0.902041,0.895753,none_observed
CMM:p116:0,CMM,116,0,ocr,1345,308,319,336,350,11,4.366883,0.916667,0.911429,none_observed
CMM:p116:1,CMM,116,1,ocr,1388,306,317,347,361,11,4.535948,0.881844,0.878116,none_observed
CMM:p116:2,CMM,116,2,ocr,1342,282,293,335,349,11,4.758865,0.841791,0.839542,none_observed
CMM:p116:3,CMM,116,3,ocr,526,101,112,131,145,11,5.207921,0.770992,0.772414,none_observed
CMM:p117:0,CMM,117,0,native,120,24,35,30,44,11,5.0,0.8,0.795455,none_observed
CMM:p118:0,CMM,118,0,ocr,1377,288,299,344,358,11,4.78125,0.837209,0.835196,none_observed
CMM:p118:1,CMM,118,1,ocr,1390,282,293,347,361,11,4.929078,0.81268,0.811634,none_observed
CMM:p118:2,CMM,118,2,ocr,720,152,163,180,194,11,4.736842,0.844444,0.840206,none_observed
CMM:p119:0,CMM,119,0,ocr,1383,316,327,345,359,11,4.376582,0.915942,0.910864,none_observed
CMM:p119:1,CMM,119,1,ocr,1390,295,306,347,361,11,4.711864,0.850144,0.847645,none_observed
CMM:p119:2,CMM,119,2,ocr,1389,273,284,347,361,11,5.087912,0.786744,0.786704,none_observed
CMM:p119:3,CMM,119,3,ocr,121,23,34,30,44,11,5.26087,0.766667,0.772727,none_observed
CMM:p11:0,CMM,11,0,native,1307,262,271,326,340,9,4.98855,0.803681,0.797059,none_observed
CMM:p120:0,CMM,120,0,ocr,417,125,136,104,118,11,3.336,1.201923,1.152542,none_observed
CMM:p121:0,CMM,121,0,ocr,364,100,111,91,105,11,3.64,1.098901,1.057143,none_observed
CMM:p122:0,CMM,122,0,native,173,25,36,43,57,11,6.92,0.581395,0.631579,none_observed
CMM:p123:0,CMM,123,0,native,1341,127,138,335,349,11,10.559055,0.379104,0.395415,none_observed
CMM:p123:1,CMM,123,1,native,480,56,67,120,134,11,8.571429,0.466667,0.5,none_observed
CMM:p124:0,CMM,124,0,native,950,105,116,237,251,11,9.047619,0.443038,0.462151,none_observed
CMM:p124:1,CMM,124,1,native,599,70,81,149,163,11,8.557143,0.469799,0.496933,none_observed
CMM:p125:0,CMM,125,0,native,992,115,126,248,262,11,8.626087,0.46371,0.480916,none_observed
CMM:p126:0,CMM,126,0,native,1235,102,113,308,322,11,12.107843,0.331169,0.350932,none_observed
CMM:p126:1,CMM,126,1,native,269,19,30,67,81,11,14.157895,0.283582,0.37037,none_observed
CMM:p127:0,CMM,127,0,ocr,553,151,162,138,152,11,3.662252,1.094203,1.065789,none_observed
CMM:p128:0,CMM,128,0,native,793,81,92,198,212,11,9.790123,0.409091,0.433962,none_observed
CMM:p129:0,CMM,129,0,ocr,298,85,96,74,88,11,3.505882,1.148649,1.090909,none_observed
CMM:p12:0,CMM,12,0,native,1105,255,264,276,290,9,4.333333,0.923913,0.910345,none_observed
