scenario,sep,window_index,window_k,est_context_tokens,actual_context_tokens,est_total_prompt_tokens,actual_total_prompt_tokens,budget_X,budget_B,over_by,overbudget,est_overbudget,ratio_actual_over_est_context,all_none_observed,chunk_ids,labels
CURRENT_EXECUTABLE,\n,257,3,755,858,955,1058,1050,765,8,1,0,1.136424,1,CMM:p2:1|CMM:p2:2|CMM:p3:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,594,3,685,878,885,1078,1050,765,28,1,0,1.281752,1,CMM:p103:0|CMM:p103:1|CMM:p104:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,595,3,712,984,912,1184,1050,765,134,1,0,1.382022,1,CMM:p103:1|CMM:p104:0|CMM:p105:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,596,2,656,907,856,1107,1050,765,57,1,0,1.382622,1,CMM:p104:0|CMM:p105:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,597,2,671,975,871,1175,1050,765,125,1,0,1.453055,1,CMM:p105:0|CMM:p106:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,600,2,639,947,839,1147,1050,765,97,1,0,1.482003,1,CMM:p108:0|CMM:p109:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,601,4,729,977,929,1177,1050,765,127,1,0,1.340192,1,CMM:p109:0|CMM:p110:0|CMM:p111:0|CMM:p112:0,none_observed|none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1177,3,697,959,897,1159,1050,765,109,1,0,1.375897,1,ERM:p73:0|ERM:p74:0|ERM:p74:1,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1178,3,675,912,875,1112,1050,765,62,1,0,1.351111,1,ERM:p74:0|ERM:p74:1|ERM:p75:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1385,4,741,888,941,1088,1050,765,38,1,0,1.198381,1,FMM:p9:1|FMM:p10:0|FMM:p10:1|FMM:p11:0,none_observed|none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1390,3,720,919,920,1119,1050,765,69,1,0,1.276389,1,FMM:p12:0|FMM:p12:1|FMM:p13:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1391,3,726,852,926,1052,1050,765,2,1,0,1.173554,1,FMM:p12:1|FMM:p13:0|FMM:p14:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1392,3,757,894,957,1094,1050,765,44,1,0,1.180978,1,FMM:p13:0|FMM:p14:0|FMM:p14:1,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1402,3,752,913,952,1113,1050,765,63,1,0,1.214096,1,FMM:p18:1|FMM:p18:2|FMM:p19:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1488,2,677,1096,877,1296,1050,765,246,1,0,1.618907,1,FMM:p54:0|FMM:p55:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,1578,2,696,1098,896,1298,1050,765,248,1,0,1.577586,1,FMM:p85:0|FMM:p86:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,1579,2,686,1056,886,1256,1050,765,206,1,0,1.539359,1,FMM:p86:0|FMM:p87:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,1580,2,653,1026,853,1226,1050,765,176,1,0,1.57121,1,FMM:p87:0|FMM:p88:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,1660,2,744,1188,944,1388,1050,765,338,1,0,1.596774,1,FMM:p113:0|FMM:p114:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,1661,3,755,1136,955,1336,1050,765,286,1,0,1.504636,1,FMM:p114:0|FMM:p115:0|FMM:p116:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1846,3,723,1152,923,1352,1050,765,302,1,0,1.593361,1,FMM:p168:0|FMM:p168:1|FMM:p169:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1847,3,682,982,882,1182,1050,765,132,1,0,1.439883,1,FMM:p168:1|FMM:p169:0|FMM:p170:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1848,3,757,1012,957,1212,1050,765,162,1,0,1.336856,1,FMM:p169:0|FMM:p170:0|FMM:p170:1,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,1946,2,609,941,809,1141,1050,765,91,1,0,1.545156,1,FMM:p201:0|FMM:p202:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,1947,2,640,952,840,1152,1050,765,102,1,0,1.4875,1,FMM:p202:0|FMM:p203:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n,2052,3,753,1105,953,1305,1050,765,255,1,0,1.467463,1,FMM:p241:0|FMM:p241:1|FMM:p242:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,2054,3,674,971,874,1171,1050,765,121,1,0,1.440653,1,FMM:p242:0|FMM:p242:1|FMM:p243:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3336,4,698,866,898,1066,1050,765,16,1,0,1.240688,1,TACM:p104:0|TACM:p104:1|TACM:p104:2|TACM:p104:3,none_observed|none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3338,4,748,940,948,1140,1050,765,90,1,0,1.256684,1,TACM:p104:2|TACM:p104:3|TACM:p104:4|TACM:p104:5,none_observed|none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3343,3,764,894,964,1094,1050,765,44,1,0,1.170157,1,TACM:p105:0|TACM:p105:1|TACM:p105:2,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3357,3,748,873,948,1073,1050,765,23,1,0,1.167112,1,TACM:p108:0|TACM:p108:1|TACM:p108:2,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3358,3,747,885,947,1085,1050,765,35,1,0,1.184739,1,TACM:p108:1|TACM:p108:2|TACM:p108:3,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3386,3,716,891,916,1091,1050,765,41,1,0,1.244413,1,TACM:p112:2|TACM:p112:3|TACM:p112:4,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3400,3,739,975,939,1175,1050,765,125,1,0,1.31935,1,TACM:p114:4|TACM:p115:0|TACM:p115:1,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n,3401,2,637,919,837,1119,1050,765,69,1,0,1.4427,1,TACM:p115:0|TACM:p115:1,none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,257,3,755,858,955,1058,1050,765,8,1,0,1.136424,1,CMM:p2:1|CMM:p2:2|CMM:p3:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,594,3,685,878,885,1078,1050,765,28,1,0,1.281752,1,CMM:p103:0|CMM:p103:1|CMM:p104:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,595,3,712,984,912,1184,1050,765,134,1,0,1.382022,1,CMM:p103:1|CMM:p104:0|CMM:p105:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,596,2,656,907,856,1107,1050,765,57,1,0,1.382622,1,CMM:p104:0|CMM:p105:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,597,2,671,975,871,1175,1050,765,125,1,0,1.453055,1,CMM:p105:0|CMM:p106:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,600,2,639,947,839,1147,1050,765,97,1,0,1.482003,1,CMM:p108:0|CMM:p109:0,none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,601,4,729,977,929,1177,1050,765,127,1,0,1.340192,1,CMM:p109:0|CMM:p110:0|CMM:p111:0|CMM:p112:0,none_observed|none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,1177,3,697,959,897,1159,1050,765,109,1,0,1.375897,1,ERM:p73:0|ERM:p74:0|ERM:p74:1,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,1178,3,675,912,875,1112,1050,765,62,1,0,1.351111,1,ERM:p74:0|ERM:p74:1|ERM:p75:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,1385,4,741,888,941,1088,1050,765,38,1,0,1.198381,1,FMM:p9:1|FMM:p10:0|FMM:p10:1|FMM:p11:0,none_observed|none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,1390,3,720,919,920,1119,1050,765,69,1,0,1.276389,1,FMM:p12:0|FMM:p12:1|FMM:p13:0,none_observed|none_observed|none_observed
CURRENT_EXECUTABLE,\n\n,1391,3,726,852,926,1052,1050,765,2,1,0,1.173554,1,FMM:p12:1|FMM:p13:0|FMM:p14:0,none_observed|none_observed|none_observed
