pair_index,sep,left_chunk_id,right_chunk_id,left_rendered_tokens,right_rendered_tokens,joined_tokens,sep_incremental_tokens
0,\n,CRM:p1:0,CRM:p2:0,202,319,522,1
1,\n,CRM:p2:0,CRM:p2:1,319,263,583,1
2,\n,CRM:p2:1,CRM:p2:2,263,287,551,1
3,\n,CRM:p2:2,CRM:p2:3,287,102,390,1
4,\n,CRM:p2:3,CRM:p4:0,102,94,197,1
5,\n,CRM:p4:0,CRM:p4:1,94,123,218,1
6,\n,CRM:p4:1,CRM:p4:2,123,133,257,1
7,\n,CRM:p4:2,CRM:p4:3,133,127,261,1
8,\n,CRM:p4:3,CRM:p4:4,127,104,232,1
9,\n,CRM:p4:4,CRM:p5:0,104,178,283,1
10,\n,CRM:p5:0,CRM:p6:0,178,279,458,1
11,\n,CRM:p6:0,CRM:p6:1,279,132,412,1
12,\n,CRM:p6:1,CRM:p7:0,132,155,288,1
13,\n,CRM:p7:0,CRM:p7:1,155,147,303,1
14,\n,CRM:p7:1,CRM:p8:0,147,65,213,1
15,\n,CRM:p8:0,CRM:p8:1,65,172,237,0
16,\n,CRM:p8:1,CRM:p8:2,172,104,277,1
17,\n,CRM:p8:2,CRM:p9:0,104,163,267,0
18,\n,CRM:p9:0,CRM:p9:1,163,122,286,1
19,\n,CRM:p9:1,CRM:p10:0,122,53,176,1
20,\n,CRM:p10:0,CRM:p10:1,53,173,226,0
21,\n,CRM:p10:1,CRM:p10:2,173,177,350,0
22,\n,CRM:p10:2,CRM:p10:3,177,193,371,1
23,\n,CRM:p10:3,CRM:p11:0,193,197,391,1
24,\n,CRM:p11:0,CRM:p11:1,197,177,374,0
25,\n,CRM:p11:1,CRM:p11:2,177,38,215,0
26,\n,CRM:p11:2,CRM:p12:0,38,67,106,1
27,\n,CRM:p12:0,CRM:p12:1,67,157,224,0
28,\n,CRM:p12:1,CRM:p12:2,157,199,356,0
29,\n,CRM:p12:2,CRM:p13:0,199,56,255,0
30,\n,CRM:p13:0,CRM:p13:1,56,139,195,0
31,\n,CRM:p13:1,CRM:p13:2,139,76,216,1
32,\n,CRM:p13:2,CRM:p13:3,76,137,213,0
33,\n,CRM:p13:3,CRM:p13:4,137,137,274,0
34,\n,CRM:p13:4,CRM:p14:0,137,146,284,1
35,\n,CRM:p14:0,CRM:p14:1,146,137,284,1
36,\n,CRM:p14:1,CRM:p14:2,137,131,269,1
37,\n,CRM:p14:2,CRM:p14:3,131,143,275,1
38,\n,CRM:p14:3,CRM:p15:0,143,46,190,1
39,\n,CRM:p15:0,CRM:p15:1,46,140,187,1
40,\n,CRM:p15:1,CRM:p15:2,140,111,252,1
41,\n,CRM:p15:2,CRM:p16:0,111,113,224,0
42,\n,CRM:p16:0,CRM:p16:1,113,99,213,1
43,\n,CRM:p16:1,CRM:p17:0,99,155,255,1
44,\n,CRM:p17:0,CRM:p17:1,155,144,300,1
45,\n,CRM:p17:1,CRM:p17:2,144,130,274,0
46,\n,CRM:p17:2,CRM:p17:3,130,103,234,1
47,\n,CRM:p17:3,CRM:p18:0,103,167,270,0
48,\n,CRM:p18:0,CRM:p18:1,167,84,252,1
49,\n,CRM:p18:1,CRM:p19:0,84,172,257,1
50,\n,CRM:p19:0,CRM:p19:1,172,167,339,0
51,\n,CRM:p19:1,CRM:p20:0,167,146,314,1
52,\n,CRM:p20:0,CRM:p20:1,146,148,295,1
53,\n,CRM:p20:1,CRM:p21:0,148,80,229,1
54,\n,CRM:p21:0,CRM:p21:1,80,104,185,1
55,\n,CRM:p21:1,CRM:p21:2,104,23,128,1
56,\n,CRM:p21:2,CRM:p22:0,23,287,311,1
57,\n,CRM:p22:0,CRM:p22:1,287,205,492,0
58,\n,CRM:p22:1,CRM:p24:0,205,226,432,1
59,\n,CRM:p24:0,CRM:p24:1,226,251,477,0
60,\n,CRM:p24:1,CRM:p25:0,251,287,538,0
61,\n,CRM:p25:0,CRM:p25:1,287,108,395,0
62,\n,CRM:p25:1,CRM:p26:0,108,222,331,1
63,\n,CRM:p26:0,CRM:p27:0,222,107,329,0
64,\n,CRM:p27:0,CRM:p28:0,107,200,308,1
65,\n,CRM:p28:0,CRM:p29:0,200,84,285,1
66,\n,CRM:p29:0,CRM:p29:1,84,131,216,1
67,\n,CRM:p29:1,CRM:p29:2,131,95,227,1
68,\n,CRM:p29:2,CRM:p30:0,95,299,395,1
